ID,Price,neighborhood,accommodates,Number of bathrooms,Number of Bedrooms,n beds,Review Scores Rating,Number of reviews,listing_url
3781,132,East Boston,2,NA,1,0,99,17,https://www.airbnb.com/rooms/3781
6695,169,Roxbury,4,NA,1,1,96,115,https://www.airbnb.com/rooms/6695
10813,70,Back Bay,3,NA,NA,1,99,10,https://www.airbnb.com/rooms/10813
10986,73,Back Bay,2,NA,NA,1,NA,2,https://www.airbnb.com/rooms/10986
13247,75,Back Bay,1,NA,NA,0,NA,0,https://www.airbnb.com/rooms/13247
16384,50,Beacon Hill,1,NA,1,0,NA,0,https://www.airbnb.com/rooms/16384
18711,129,Dorchester,7,NA,3,3,86,52,https://www.airbnb.com/rooms/18711
22195,110,Back Bay,4,NA,NA,2,71,26,https://www.airbnb.com/rooms/22195
22354,148,South End,1,NA,1,1,89,316,https://www.airbnb.com/rooms/22354
40601,85,Jamaica Plain,2,NA,1,1,99,77,https://www.airbnb.com/rooms/40601
45987,125,Charlestown,3,NA,1,0,93,130,https://www.airbnb.com/rooms/45987
60029,78,Roxbury,1,NA,1,1,95,141,https://www.airbnb.com/rooms/60029
67774,55,Beacon Hill,3,NA,1,1,96,44,https://www.airbnb.com/rooms/67774
69369,100,Roxbury,3,NA,2,2,95,120,https://www.airbnb.com/rooms/69369
77681,140,Charlestown,2,NA,1,1,87,54,https://www.airbnb.com/rooms/77681
163941,231,Roxbury,6,NA,2,3,93,228,https://www.airbnb.com/rooms/163941
182613,75,Charlestown,6,NA,2,4,96,107,https://www.airbnb.com/rooms/182613
190170,55,Dorchester,4,NA,2,1,90,71,https://www.airbnb.com/rooms/190170
197727,50,Jamaica Plain,1,NA,1,1,99,46,https://www.airbnb.com/rooms/197727
197972,125,Jamaica Plain,2,NA,1,1,97,393,https://www.airbnb.com/rooms/197972
210097,93,Jamaica Plain,2,NA,NA,1,97,199,https://www.airbnb.com/rooms/210097
220676,145,North End,3,NA,1,1,98,251,https://www.airbnb.com/rooms/220676
257588,261,South Boston,4,NA,2,2,97,338,https://www.airbnb.com/rooms/257588
322593,197,South End,2,NA,1,1,96,409,https://www.airbnb.com/rooms/322593
349347,83,Roxbury,2,NA,1,1,88,111,https://www.airbnb.com/rooms/349347
400067,60,Mattapan,1,NA,1,1,88,24,https://www.airbnb.com/rooms/400067
447826,71,Jamaica Plain,2,NA,1,1,96,313,https://www.airbnb.com/rooms/447826
496022,173,Jamaica Plain,2,NA,1,1,99,16,https://www.airbnb.com/rooms/496022
507525,65,Back Bay,2,NA,1,2,94,9,https://www.airbnb.com/rooms/507525
526970,148,South End,2,NA,1,1,90,175,https://www.airbnb.com/rooms/526970
530983,206,Dorchester,9,NA,5,5,88,67,https://www.airbnb.com/rooms/530983
533114,139,Dorchester,6,NA,2,2,90,54,https://www.airbnb.com/rooms/533114
533152,113,Dorchester,5,NA,2,2,91,56,https://www.airbnb.com/rooms/533152
561769,103,Dorchester,6,NA,3,7,86,60,https://www.airbnb.com/rooms/561769
579605,113,Dorchester,5,NA,2,2,91,53,https://www.airbnb.com/rooms/579605
583255,149,Allston-Brighton,2,NA,1,1,100,20,https://www.airbnb.com/rooms/583255
601763,129,Dorchester,5,NA,3,5,91,38,https://www.airbnb.com/rooms/601763
611081,210,Charlestown,6,NA,1,4,93,39,https://www.airbnb.com/rooms/611081
619142,175,Charlestown,2,NA,1,1,96,168,https://www.airbnb.com/rooms/619142
646087,190,South Boston,1,NA,1,1,100,7,https://www.airbnb.com/rooms/646087
708802,189,Charlestown,4,NA,1,2,98,374,https://www.airbnb.com/rooms/708802
743759,25,Roslindale,1,NA,1,1,96,5,https://www.airbnb.com/rooms/743759
753446,55,Roslindale,2,NA,1,2,96,142,https://www.airbnb.com/rooms/753446
