"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2018-01-01","16.33",,"0.00","0.0","6","13","0","  290","  300","25.1","34.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-02","12.75",,"0.00","0.0","10","19","4","  240","  300","19.9","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-03","9.40",,"0.00","0.0","21","29","16","  260","  260","21.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-04","22.59",,"1.35","13.4","26","30","22","  310","  340","38.9","51.0","    1","    1","    1",,,,,"    1"
"USW00014739","BOSTON, MA US","2018-01-05","24.83",,"0.00","0.0","18","24","6","  280","  260","38.0","51.0",,,,,,,,"    1"
"USW00014739","BOSTON, MA US","2018-01-06","21.92",,"0.00","0.0","8","12","1","  270","  270","36.0","48.1",,,,,,,,"    1"
"USW00014739","BOSTON, MA US","2018-01-07","16.11",,"0.00","0.0","5","17","-2","  290","  290","28.0","36.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-08","16.78",,"0.00","0.0","24","35","17","  220","  240","23.9","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-09","13.87",,"0.00","0.0","35","43","31","  280","  290","25.1","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-10","7.38",,"0.00","0.0","31","36","25","  210","  210","17.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-11","11.18",,"0.00","0.0","39","51","33","  220","  210","21.9","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-12","14.76",,"0.62","0.0","50","60","39","  200","  200","33.1","42.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-01-13","20.13",,"1.24","0.0","50","61","19","  200","  190","38.0","46.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-01-14","11.63",,"0.00","0.0","19","23","14","  320","  320","21.9","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-15","13.65",,"0.00","0.3","16","21","12","  360","  360","21.0","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-16","5.14",,"0.00","0.0","24","33","20","  330","  350","13.0","15.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-17","6.49",,"0.21","1.7","32","34","31","  300","  330","13.0","16.1","    1","    1",,,,"    1",,
"USW00014739","BOSTON, MA US","2018-01-18","11.18",,"0.00","0.0","28","32","21","  320","  320","14.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-19","9.62",,"0.00","0.0","28","34","23","  270","  270","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-20","14.32",,"0.00","0.0","37","47","29","  260","  250","23.9","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-21","6.04",,"0.00","0.0","42","49","34","  280","  280","12.1","16.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-22","4.92",,"0.06","0.0","36","39","34","   50","   40","14.1","17.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-01-23","9.17"," 1506","1.26","0.0","38","55","32","  170","  170","30.0","38.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-24","14.54"," 2249","0.00","0.0","38","42","24","  310","  310","23.0","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-25","16.11"," 1916","0.00","0.0","26","30","21","  290","  280","25.9","34.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-26","11.41"," 0009","0.00","0.0","25","34","19","  290","  270","21.9","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-27","16.33"," 1337","0.00","0.0","36","53","25","  220","  220","33.1","46.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-28","10.29"," 0209","0.03","0.0","49","52","43","  230","  230","23.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-29","15.88"," 2207","0.00","0.1","38","43","28","   30","   40","30.0","40.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-30","15.21"," 2255","0.15","2.3","27","31","20","   20","  310","25.1","34.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-01-31","13.20"," 0004","0.00","0.0","24","30","18","  310","  290","23.9","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-01","13.42"," 0014","0.04","0.0","35","46","30","  210","  210","21.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-02","17.45"," 1340","0.25","0.1","32","38","12","  300","  270","29.1","36.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-03","12.97"," 1223","0.00","0.0","17","28","10","  220","  260","21.0","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-04","10.74"," 0751","0.29","0.0","32","43","26","  200","  210","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-05","13.42"," 1120","0.36","0.0","40","43","24","  300","  270","28.0","38.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-06","8.28"," 1037","0.00","0.0","27","34","22","  220","  220","17.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-07","7.38"," 1918","0.65","2.1","30","43","23","  230","  220","21.9","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-08","13.42"," 0013","0.00","0.0","30","34","22","  320","  290","23.0","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-09","11.41"," 0819","0.00","0.0","27","32","22","  200","  290","16.1","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-10","8.50"," 1210","0.16","0.0","39","52","30","  210","  220","19.9","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-11","7.16"," 1011","0.69","0.0","43","49","38","   50","   30","14.1","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-12","10.51"," 0930","0.00","0.0","41","48","33","  320","  330","23.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-13","10.07"," 0224","0.00","0.0","30","33","25","  320","  320","17.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-14","11.18"," 1310","0.00","0.0","35","47","28","  230","  250","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-15","8.50"," 1839","0.00","0.0","42","49","35","  220","  240","17.0","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-16","10.96"," 1936","0.02","0.0","49","54","34","  310","  310","25.1","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-17","11.63"," 1751","0.17","1.9","33","35","27","  180","  170","23.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-18","10.29"," 0931","0.35","3.7","36","44","32","  320","  300","21.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-19","12.53"," 1342","0.06","0.0","38","50","26","  200","  230","25.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-20","10.74"," 0032","0.01","0.0","55","70","42","  220","  220","21.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-21","14.32"," 1032","0.00","0.0","56","72","41","  230","  220","25.9","32.0",,,,,,,,
