DATE,Average_wind_speed,Precipitation,Snowfall,Average_temperature,Maximum_temperature,Minimum_temperature,Fastest_2_min_windspeed,Fastest_5_min_windspeed,Fog,Thunder,Ice_pellets,Hail
2018-01-01,16.33,0,0,6,13,0,25.1,34,NA,NA,NA,NA
2018-01-02,12.75,0,0,10,19,4,19.9,25.1,NA,NA,NA,NA
2018-01-03,9.4,0,0,21,29,16,21.9,29.1,NA,NA,NA,NA
2018-01-04,22.59,1.35,13.4,26,30,22,38.9,51,1,1,NA,NA
2018-01-05,24.83,0,0,18,24,6,38,51,NA,NA,NA,NA
2018-01-06,21.92,0,0,8,12,1,36,48.1,NA,NA,NA,NA
2018-01-07,16.11,0,0,5,17,-2,28,36.9,NA,NA,NA,NA
2018-01-08,16.78,0,0,24,35,17,23.9,31.1,NA,NA,NA,NA
2018-01-09,13.87,0,0,35,43,31,25.1,32,NA,NA,NA,NA
2018-01-10,7.38,0,0,31,36,25,17,21,NA,NA,NA,NA
2018-01-11,11.18,0,0,39,51,33,21.9,27.1,NA,NA,NA,NA
2018-01-12,14.76,0.62,0,50,60,39,33.1,42.1,1,NA,NA,NA
2018-01-13,20.13,1.24,0,50,61,19,38,46.1,1,NA,NA,NA
2018-01-14,11.63,0,0,19,23,14,21.9,25.9,NA,NA,NA,NA
2018-01-15,13.65,0,0.3,16,21,12,21,25.9,NA,NA,NA,NA
2018-01-16,5.14,0,0,24,33,20,13,15,NA,NA,NA,NA
2018-01-17,6.49,0.21,1.7,32,34,31,13,16.1,1,NA,NA,NA
2018-01-18,11.18,0,0,28,32,21,14.1,21.9,NA,NA,NA,NA
2018-01-19,9.62,0,0,28,34,23,16.1,19.9,NA,NA,NA,NA
2018-01-20,14.32,0,0,37,47,29,23.9,33.1,NA,NA,NA,NA
2018-01-21,6.04,0,0,42,49,34,12.1,16.1,NA,NA,NA,NA
2018-01-22,4.92,0.06,0,36,39,34,14.1,17,1,NA,NA,NA
2018-01-23,9.17,1.26,0,38,55,32,30,38.9,NA,NA,NA,NA
2018-01-24,14.54,0,0,38,42,24,23,30,NA,NA,NA,NA
2018-01-25,16.11,0,0,26,30,21,25.9,34,NA,NA,NA,NA
2018-01-26,11.41,0,0,25,34,19,21.9,30,NA,NA,NA,NA
